GENRE	PLACE	LIGHT	ISO	aperture	exposure	lightDetail	object	when	light	genre_old
человек или предмет	В помещении	Дневной свет	50	2	1/500	солнечно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	50	2	1/250	облачно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	50	2.8	1/200	солнечно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	50	2.8	1/125	облачно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	50	4	1/125	солнечно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	100	2	1/500	облачно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	100	2.8	1/500	солнечно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	100	2.8	1/250	облачно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	100	4	1/125	облачно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	160	2	1/500	облачно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	160	2.8	1/500	солнечно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	160	2.8	1/250	облачно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	160	4	1/250	солнечно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	200	2.8	1/500	солнечно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	200	2.8	1/500	облачно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	200	4	1/250	солнечно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	200	4	1/250	облачно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	400	4	1/500	солнечно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	400	4	1/500	облачно	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	800	0	-	ISO 800 не подходит для съемки солнечным утром или днем	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	800	0	-	ISO 800 не подходит для съемки солнечным утром или днем	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	1600	0	-	ISO 1600 не подходит для съемки солнечным утром или днем	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	1600	0	-	ISO 1600 не подходит для съемки солнечным утром или днем	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	3200	0	-	ISO 3200 не подходит для съемки солнечным утром или днем	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Дневной свет	3200	0	-	ISO 3200 не подходит для съемки солнечным утром или днем	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Лампы накаливания	100	0	-	ISO 100 не подходит для съемки при тусклом освещении	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Лампы накаливания	160	0	-	ISO 160 не подходит для съемки при тусклом освещении	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Лампы накаливания	3200	0	-	ISO 3200 не подходит для съемки с ярким освещением	человек или предмет	утро / день	свет из окна	портрет
человек или предмет	В помещении	Лампы накаливания	50	0	-	ISO 50 не подходит для съемки при тусклом освещении	человек или предмет		лампы накаливания	портрет
человек или предмет	В помещении	Лампы накаливания	200	2	1/125		человек или предмет		лампы накаливания	портрет
человек или предмет	В помещении	Лампы накаливания	400	2	1/250		человек или предмет		лампы накаливания	портрет
человек или предмет	В помещении	Лампы накаливания	400	2.8	1/125		человек или предмет		лампы накаливания	портрет
человек или предмет	В помещении	Лампы накаливания	800	2	1/500		человек или предмет		лампы накаливания	портрет
человек или предмет	В помещении	Лампы накаливания	800	2.8	1/250		человек или предмет		лампы накаливания	портрет
человек или предмет	В помещении	Лампы накаливания	800	4	1/125		человек или предмет		лампы накаливания	портрет
человек или предмет	В помещении	Лампы накаливания	1600	2	1/500		человек или предмет		лампы накаливания	портрет
человек или предмет	В помещении	Лампы накаливания	1600	2.8	1/250		человек или предмет		лампы накаливания	портрет
человек или предмет	В помещении	Лампы накаливания	3200	0	-	ISO 3200 не подходит для съемки с ярким освещением	человек или предмет		лампы накаливания	портрет
человек или предмет	В помещении	Светодиодные лампы	50	0	-	ISO 50 не подходит для съемки при свете диодной и люминисцентной ламп	человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Светодиодные лампы	100	2	1/125		человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Светодиодные лампы	160	2	1/125		человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Светодиодные лампы	200	2	1/250		человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Светодиодные лампы	200	2.8	1/125		человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Светодиодные лампы	400	2	1/500		человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Светодиодные лампы	400	2.8	1/250		человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Светодиодные лампы	400	4	1/125		человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Светодиодные лампы	800	2.8	1/500		человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Светодиодные лампы	800	4	1/250		человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Светодиодные лампы	1600	4	1/500		человек или предмет		светодиодные лампы	портрет
человек или предмет	В помещении	Свечи или гирлянды	100	0	-	ISO 100 не подходит для съемки при свете свечей или гирлянд	человек или предмет		свечи или гирлянды	портрет
человек или предмет	В помещении	Свечи или гирлянды	160	0	-	ISO 160 не подходит для съемки при свете свечей или гирлянд	человек или предмет		свечи или гирлянды	портрет
человек или предмет	В помещении	Свечи или гирлянды	200	0	-	ISO 200 не подходит для съемки при свете свечей или гирлянд	человек или предмет		свечи или гирлянды	портрет
человек или предмет	В помещении	Свечи или гирлянды	400	0	-	ISO 400 не подходит для съемки при свете свечей или гирлянд	человек или предмет		свечи или гирлянды	портрет
человек или предмет	В помещении	Свечи или гирлянды	50	0	-	ISO 50 не подходит для съемки при свете свечей или гирлянд	человек или предмет		свечи или гирлянды	портрет
человек или предмет	В помещении	Свечи или гирлянды	800	2	1/125		человек или предмет		свечи или гирлянды	портрет
человек или предмет	В помещении	Свечи или гирлянды	1600	2	1/250		человек или предмет		свечи или гирлянды	портрет
человек или предмет	В помещении	Свечи или гирлянды	3200	2	1/500		человек или предмет		свечи или гирлянды	портрет
человек или предмет	В помещении	Свечи или гирлянды	3200	2.8	1/250		человек или предмет		свечи или гирлянды	портрет
человек или предмет	В помещении	Смешанный свет (концерт, бар, парк аттракционов)	100	0	-	ISO 100 не подходит для съемки при недостатке света	человек или предмет		смешанный свет (концерт, бар, парк аттракционов)	портрет
человек или предмет	В помещении	Смешанный свет (концерт, бар, парк аттракционов)	160	0	-	ISO 160 не подходит для съемки при недостатке света	человек или предмет		смешанный свет (концерт, бар, парк аттракционов)	портрет
человек или предмет	В помещении	Смешанный свет (концерт, бар, парк аттракционов)	200	0	-	ISO 200 не подходит для съемки при недостатке света	человек или предмет		смешанный свет (концерт, бар, парк аттракционов)	портрет
человек или предмет	В помещении	Смешанный свет (концерт, бар, парк аттракционов)	400	0	-	ISO 400 не подходит для съемки при недостатке света	человек или предмет		смешанный свет (концерт, бар, парк аттракционов)	портрет
человек или предмет	В помещении	Смешанный свет (концерт, бар, парк аттракционов)	50	0	-	ISO 50 не подходит для съемки при недостатке света	человек или предмет		смешанный свет (концерт, бар, парк аттракционов)	портрет
человек или предмет	В помещении	Смешанный свет (концерт, бар, парк аттракционов)	800	2	1/125		человек или предмет		смешанный свет (концерт, бар, парк аттракционов)	портрет
человек или предмет	В помещении	Смешанный свет (концерт, бар, парк аттракционов)	1600	2	1/250		человек или предмет		смешанный свет (концерт, бар, парк аттракционов)	портрет
человек или предмет	В помещении	Смешанный свет (концерт, бар, парк аттракционов)	3200	2	1/500		человек или предмет		смешанный свет (концерт, бар, парк аттракционов)	портрет
человек или предмет	В помещении	Смешанный свет (концерт, бар, парк аттракционов)	3200	2.8	1/250		человек или предмет		смешанный свет (концерт, бар, парк аттракционов)	портрет
человек или предмет	На улице	Дневной свет	50	2	1/250	облачно	человек или предмет	утро / день	облачно	портрет
человек или предмет	На улице	Дневной свет	50	2.8	1/125	облачно	человек или предмет	утро / день	облачно	портрет
человек или предмет	На улице	Дневной свет	100	2	1/500	облачно	человек или предмет	утро / день	облачно	портрет
человек или предмет	На улице	Дневной свет	100	2.8	1/250	облачно	человек или предмет	утро / день	облачно	портрет
человек или предмет	На улице	Дневной свет	100	4	1/125	облачно	человек или предмет	утро / день	облачно	портрет
человек или предмет	На улице	Дневной свет	160	2	1/500	облачно	человек или предмет	утро / день	облачно	портрет
